"instructor","id","section_sis_id","my_instructor_may_share_my_reflection_responses_with_the_researchers_in_this_study","as_of_today_i_am_at_least_19_years_of_age","in_this_class_youll_be_learning_about_the_process_of_scientific_investigation_what_do_you_think_that_process_looks_like_from_the_perspective_of_a_researcher_compared_to_what_it_looks_like_from_the_perspective_of_someone_in_the_general_public_who_is_a_consumer_of_scientific_results_write_a_paragraph_at_least_3_5_sentences_about_how_you_think_science_happens","paste_the_response_code_you_received_after_participating_in_the_graphics_experiment_here","what_do_you_think_the_purpose_of_the_experiment_was","what_hypotheses_might_the_experimenter_have_been_testing","what_sources_of_error_are_involved_in_this_experiment","what_variables_were_examined_for_each_variable_identify_whether_it_was_quantitative_or_categorical","what_elements_of_experimental_design_such_as_randomization_or_the_use_of_a_control_group_do_you_think_were_present_in_the_experiment_why","what_components_of_the_experiment_are_clearer_now_than_they_were_as_a_participant_what_questions_do_you_still_have_for_the_experimenter_write_3_5_sentences_reflecting_on_the_abstract","how_did_the_information_you_gained_from_the_components_of_this_project_participation_post_study_reflection_extended_abstract_presentation_differ","what_components_were_emphasized_in_the_presentation_that_werent_emphasized_in_the_abstract_why_do_you_think_that_is","what_critiques_do_you_have_of_this_study_and_its_design_what_would_have_made_the_study_better","if_you_had_to_hear_about_this_study_using_only_the_extended_abstract_or_only_the_presentation_which_one_would_you_prefer_which_one_would_be_better_for_determining_whether_the_experiment_was_well_designed"
"1","ad5cc2a8016335c90bb2e53bfcb41ec6","STAT-218-700.1235","I agree","TRUE","From the perspective of a researcher, science comes with so many rules and regulations (in order to make sure that it is valid and ethical), but also lots of freedoms in order to change and manipulate it. The general public may see scientific results and may sometimes be confused as to how they got specific results, or may not know how to tell if a study/experiment is valid or not. Science happens because a researcher(s) put an experiment together with limited manipulated variables in order to find a result. If people do not understand the underlying basics to science they will not understand researchers findings. ","unfrequented-impastes-roughout-madronos","To see how well people can tell size differences in 2D vs 3D","Can people better tell how small an object is compared to a larger one when it is in 2D vs 3D?","Sources of error may be the experiment allowing for online vs real-life bars being given or shown. I think it may be easier to estimate the real-life examples because you could move 3D blocks and draw on 2D paper to make better estimates compared to trying to do it on a screen. ","Difference in height of bar- quantitative 

Which bar was small (circle or triangle)- categorical","They may have mixed up the order in which the bars were shown.

I do not think randomization was used because there was really no bias to prevent. Possibly the randomization of 2D vs 3D bars. 

It is possible some people were only shown 3D bars and not 2D and 3D, which may help to understand people's perceptions and if there is significance in the bars that are shown. ",NA,NA,NA,NA,NA
"1","a46a80e97c549f0f06f171ce75f44791","STAT-218-700.1235","I agree","TRUE","The process of scientific investigation has its main components that are very broad and generalized making it look different to different individuals with different levels of understanding. For a researcher the process for scientific investigation will be more in depth and specific. Their process can also be a lot more extraneous and long when getting approval to publish. For those in the general public, the process of scientific investigation will more than likely  be very basic and only answering a more simple question than one a researcher might be testing. Overall science happens due to curiosity and the want to learn. ","centime-phon-chorography-singulars","I think the purpose of the experiment was to test our minds and see if it sees proportions the same when looking at them in different ways. ","The hypothesis could have been that the mind does see proportions differently when presented in different ways. ","For this experiment, there could be human error or instrumental error since this was an online experiment for me. ","One variable would be how the graphs were displayed making it categorical and the other variable would be the amount of times the answers were correct making it quantitative.  ","In the experiment there was random sampling because they were pulling from different courses to collect their data. I would also say there was random assignment because of the 21 different kits to choose from.    ",NA,NA,NA,NA,NA
"1","6fd80817125a1e640247cdc93e12457a","STAT-218-700.1235","I agree","TRUE","I think science happens because of curiosity. I think science always starts with a hypothesis or theory. For the general public, I don't think they really care about science unless it affects them.","jocosities-sugarberry-scouther-reinfected","I think the purpose of the experiment was to see if the person was paying attention to each question.","A hypothesis would've been something like, ""More people will click the same answer for each question if the answer is repetitive."" ","Sources of errors include technology not working and mix-up of questions.","It was categorial and it was based off of whether the triangle or circle bar was smaller.","I think one of the kits was a control group and we were told to pick our favorite number so that randomized the process for the participant.",NA,NA,NA,NA,NA
"1","b4adc95baa982a24c2c229897d895ae7","STAT-218-700.1235","I agree","TRUE","From the perspective of a researcher, the process of scientific investigation is a meticulous and systematic journey of discovery. It begins with identifying a research question or hypothesis, followed by an extensive review of existing knowledge and relevant literature. The researcher then designs and conducts experiments or collects data to test the hypothesis. This involves careful planning, data collection, analysis, and interpretation. The findings are then subjected to peer review and publication in scientific journals, allowing other experts to scrutinize and validate the research. 

Researchers continuously engage in discussions, collaborations, and further investigations to refine and expand knowledge in their field.","ethinyl-graphitize-catbriars-lollop","The goal of this study is to comprehend how we interpret statistical graphics and how precisely we can decipher data from various types of charts.

 ","How we recognize statistical graphics and how accurately we can read information from charts represented in different ways.","Measurement error","Stistical graphics - quatitative 

the circle and triangle- categorical 

 ","The main purpose for using randomization in an experiment is that it automatically controls for all lurking variables. In a randomized controlled experiment, researchers control values of the explanatory variable with a randomization procedure.",NA,NA,NA,NA,NA
"1","573394484c5fcdd5ec4e04a994a23654","STAT-218-700.1235","I agree","TRUE","This process is basically like the scientific method. First ask a question or a hypothesis, gather data, experiment, test the hypothesis to see if it works or not and from the data gathered make a final conclusion. This takes time and energy, but in the long run, it is worth it. This method is crucial for gathering solid, or not so solid evidence, regardless of depending on just strictly anecdotal evidence or theory.","exocytosis-nonconforms-arugola-auxotroph","The purpose was to choose which column was smaller. The column associated with a triangle or with a dot next to it.

At least that's what it looked like on the surface.","How well do people follow instructions?

What are people's perceptions, when looking at charts?

Do people actually stop and look at all of the details, or do they just glance over?","Each individual has some amount of error, whether it's not understanding the question correctly, or being afraid to ask questions, it could also be a tech error, or a computer malfunction","categorical, whether the triangle was smaller or the dot.","I think randomization, such as random students participating, but also control group, like all of the students that participated were in a stats class.",NA,NA,NA,NA,NA
"1","361fe70e7b4b67ea5227cd09181704a1","STAT-218-700.1235","I agree","TRUE","From the perspective of a researcher, scientific investigation is a standardized, and formal process. The researcher has to agree or fail to agree with a claim, and communicate their results. From the perspective of the general public, scientific investigation is information that is consumed and taken for its word. The general public does not have to be as formal, but if the results sound iffy then the science might be in question.","limacon-blogger-rookie-misenrols","I think the purpose of this experiment was to see which bar graph was smaller. You had to chose on, either the triangle or the circle. Another point would be to see how people interpret sizes, if people are more accurate or less.","The hypothesis the experimenter may have been testing, were if participants were able to correctly identify which one was smaller. Additionally to see if peoples guesses on how much smaller were more accurate or less.","I could see there being a Type 1 error. More people could be not accurate but the results could show otherwise.","The variables being examined are weather or not the triangle or circle was smaller and correctly identified. That would be categorical. a yes or no. Another variable could be how far off or on peoples guesses where, if most people thought were smaller or bigger. That would also be categorical variables. More over, or more under. ","Some elements could be used such randomization of the group, randomly participation of the STATS 218 students. That would be the sample size. Another element design I can see in the experiment, random assignment.",NA,NA,NA,NA,NA
"1","579f2c924b695f20785257154309520e","STAT-218-700.1235","I agree","TRUE","I feel as though a researcher would be more focused on the process. Whereas the public is more concerned about the results. I feel as though the public is more likely to consume results through social media, newspapers, etc. Where on the other hand researchers consume it through scientific publications ","mesothoracic-luge-shigellosis-valorises","I think that the purpose of this experiment was to test how students perceive the distance of the graphs after taking a stats course.","The experimenter may be testing the difference in closest interpretations between stats students and non stats students. H0: p1=p2

Ha: p1>p2

p1 being stats students, p2 being non stats students.","Not all students are looking at the same graphs. It doesn’t account for past stats experiences. Online experiments rely on internet connection which isn’t accessible to everyone and could lead to error.","Type of student (categorical) and distance between the two graphs (quantitative). ","Control group would be the non stats students because they don’t have the experience of going through the course in which proportions were learned about. Randomization could have been used… Although more info would be needed on who else has taken the survey. If it is only this section of stats then it is not random.",NA,NA,NA,NA,NA
"2","a5affcac47f61f2fd7007f5d9bbfacf5",NA,"I agree","TRUE","I believe that process of scientific investigations will look very detailed oriented. For the researcher, I believe it involves experiments and statistics. From someone in the general public, I believe it would be a fairly normal experience except a little anxiousness will be involved waiting on the results. I believe these investigations are beneficial to both parties.","22579","I believe the purpose of this experiment was to see how people learn through seeing visual graphs and concepts","The experimenter could have been testing to see if people learn better when seeing visual representations rather than just hearing and taking notes","If people are just randomly picking answers. ","If you learn better through visuals. Categorial.","Randomization because she chose whoever decided to sign up for the experiment.","When I first read the abstract, I got a general idea of what the study was about but now I understand more details. They want to check if 3D printed graphs are better than 3D digital and regular 2D graphs for showing data. They mention a study from the past and how they're doing something similar but with new methods. They use computer tools to create the graphs. I'm still wondering how exactly they changed the old study for 3D printed charts and what they found out. Also if 3D-printed graphs work better I'm curious about how that could change how we show information in the future.","Each part of the project gives different information. Taking part in the study means actually doing the tasks and seeing the charts. Reflecting afterward lets you think more about what you did and how it felt. Reading the summary of the study in the extended abstract gives a clear idea of what the study wanted to do, how they did it, and what they found. And the presentation probably showed the important parts with pictures and explanations. All these parts help us understand the project from different angles.","The presentation probably focused more on showing pictures of the 3D printed bar charts and how the study was done. They might have pointed to specific things on the charts and answered questions from the audience. This is because showing things visually and interacting with the audience helps make the study's methods and results clearer and more interesting.","One thing to think about is if enough different kinds of people were part of the study. Having more people from different backgrounds could help make the results more reliable. Also explaining in more detail how they changed the old experiment for 3D printed charts would make the study clearer. Having a group that doesn't know the study's goal and comparing their reactions to 2D and 3D printed charts could also improve the study.","I would choose the presentation because it could show pictures and maybe let me ask questions. Seeing the charts and how they did the study would help me understand if it was a good plan. The presentation would give a better idea of how well the experiment was set up and what happened."
"2","b92afb216a293f733fd904b30867cd4e",NA,"I agree","TRUE","From the perspective of a researcher, the process of scientific investigation is very important. They use it day in and day out to solve the problems of the general public that we experience every day. The general public doesn't realize the extent that scientific investigation has on their lives. Everyday things we use such as pasteurized milk, soap, and washing machines are all possible because of scientific investigation.","minimaxes-consecrating-nacelles-tenancy","I think the purpose of the experiment was to test how the shape and size of the charts affect what you perceive to be small. ","The hypothesis that was being tested was if the shape and size of the chart affect what people perceive to be small. ","Human error, for example, accidentally clicking the wrong option. Or not understanding the questions correctly. ","Variables in the study include shapes which are categorical, and the perception of smallness compared to the other bar which is quantitative.","Randomization was present in the design through the use of random bar graphs and answer choices. I never received the same bar graph image twice and the shape options on the drop-down answer choices were always in a different order. ","The reason for testing is a lot more clear to me now, I had questions about the purpose of the test but it is a lot more interesting to me now. I still have questions about the design of the study. It seems to me that maybe too many changes have been made from the original study done by Cleveland and McGill, which made some room for errors to become possible. ","While actively participating in the study, I had some doubts about the purpose of the experiment and thought that it was kind of a waste of time. After reading the abstract and watching the presentation, I have a new found respect for the purpose and reasoning behind the design of the experiment. ","The presentation makes it a little easier to understand because of its use of pictures. I think that this is because it is a lot easier to utilize pictures in a presentation as opposed to an academic article.","I honestly believe that this critique is very well designed. If I were to change anything about it, it would be the way that the range below the answer was explained in a better way because I found it sort of confusing. ","I think that the presentation was better at explaining the experiment in normal everyday terms, which is why I prefer it to the extended abstract. I believe that the extended abstract is better at explaining the design of the experiment and leaves little to question about the quality to which it was designed. "
"2","3c7e7952df76c7e018d7c37e63c1eeea",NA,"I agree","TRUE"," Science is based off of hypothesis. Then scientists or others test those hypothesis to see whether or not the hypothesis is true. Once you run an experiment with multiple trials (so you can have the proper amount of evidence), you can view the results to see whether or not your hypothesis was accurate. If it wasn't then you will be able to tell what went wrong or how that evidence came about. ","ashier-kaiserism-shush-xylidine","To be able to distinguish which symbol was smaller and the comparison between the two.","If you were in STAT 218, then you should be able to tell which points were bigger and smaller and adjust the level of the smaller one too.","I think not having the app itself not work properly. It's hard to rely on technology when doing experiments. ","symbols, which one was smaller- catergorical

then the size comparison between the two- categorical","I would say that it was randomized because they weren't necessarily all the same, the only thing that was, was that the triangle was the same symbol that was smaller each time. ","I think that it's somewhat clearer after reading the extended abstract. They wanted to test how a 3D model is less accurate than a 2D model. They were basically trying to replicate the Cleveland and McGill experiment. When I was doing the experiment, I didn't understand why or the purpose to why I was choosing which bar was smaller, but after reading about it, it makes a lot more sense. ","The more that you went through each ""module"" the more information about experiment you gained. At first during the participation, I didn't really know the purpose of the experiment. Once I actually read about it, it made more sense and I understood it more.","He went more in depth with the purpose of the experiment and how they were changing up the experiment compared to Cleveland and McGuill. I think the reason why is because it's a lot easier to verbally talk about through a presentation whereas it's a little more difficult to talk about through a paper.","I think the main critiques is that the app didn't fully work unless you hit the you do not agree and to not save my data for it to work. Also not being able to begin the test without selecting a number for the kit. I think once those bug fixes are fixed, then the experiment would work great.","I think I would choose the presentation. I say that because I am more of a visual learner than I am a read/ writing learner. I think the presentation is better for determining whether the experiment was designed well."
"2","bafcb278d2223d0471fbe417729631cd",NA,"I agree","TRUE","I think scientific investigation for a researcher is a way to test hypothesis, uncover new knowledge and do work in the field. Scientific research is very hard, long, and tedious work that doesn’t always give the answers that one wants but it can leads to a possible new question that can have a new process or new way to answer it. Scientific research is the way scientist are able to put answers to questions. Whereas as the consumer or general public, we generally have to just believe or do a lot of research of the said scientist, in order to fully understand or be able to rely on the information that is given.","antonymies-prepossessed-likeness-metacognition

 ","To guess how well people are able to identify the difference in sizes when they are not next to each other?","How well people can approximate sizes of graphs.","People not understanding the questions or not putting effort into them.","Which bar was smaller, quantitative 

and by how much, quantitative ","Sex and race of the participants is random as it is unknown by the researcher. Because the researcher does not know who of the stats students will take the extra credit.","I did not release we were comparing 3D and 2D but I know understand how they would make a difference in the depth that we see and therefore the way the questions were answered. I do also now understand why were were asked questions about length and size in both 2D and 3D and I do deffiently think using 3D gives a better perspective and chance at being able to give better estimations as to length in comparison so two bars. as a participant I would also be interested how the data would vary if we were able to also see the printe graphs along side the others.","The main way the differed of course was how well I understood what I was doing and what the data being collected is. I also learned why the data was presented and survayed as it was and what answers the resarchers were hoping to see from the survays. I also relized that people tend to prefer and convey the information better in 2D graphs and not 3D graphs which I thought would be the opposite.","the main thing is that people tend to prefer the 2D when trying to pick out information which may have not been in the abrstact so that it would not change or affect the way people think or look at them?","As I did not give much thought to the concepts and hope of the study while taking the survays im not sure how it would be better but one thing I personaly like is to have the majority of information in the begingging as I think it makes the surveys more interestion to participate in however I do know having less information does give a more non-bias set of survey answers so that i assume would not work as well.","the presentaion simply becasue I listen much better than I read. I also think the presentaion is better fot understanding the experiment for the same reason."
"2","cd8fd00a42bebce720d4760a8bff6d4a",NA,"I agree","TRUE","From the perspective of a researcher, the process starts with identifying a hypothesis. Then researchers will design an experiment, collect the data, and analyze the results. From the perspective of someone in the general public who is a consumer of scientific results, the process may appear to be more straightforward and focused on the final outcomes. ","conceited-jolly-proposal-lanthanide","To evaluate what graph was larger or not","After looking at multiple graphs in a row, the person viewing the graphs will start to choose the same answer without examining the graph. ","For the graphs I was supposed to pick from, I could not seem them, so I had to guess which one was bigger and by how much. ","size, quantitative

shape, quantitative","I believe that everyone who participated in the experiment was in stats 218 so that would be the control group and if there were any random individuals who were not taking stats 218 currently would be randomization. ","I understand now why the experiment was being conducted. At first I was confused on why I was taking a stats related experiment about graphs, but I have a clearer understanding of why the experiment is being studied. I am curious why our brain is altered when looking at a 3D chart and yet still seeing it as a 2D chart. ","The seven unique ratios given were different. The study also made sure that no value was used more than twice while the other study used 15 different combinations for all the participants. ","In the presentation, I felt like the study design was very in depth as well as how the kit was laid out for each participant was very detailed as well. Because this was a presentation, visual aid was key for the viewers, so it would make sense that when talking about the experiment, there was a lot more detail and visual aid for the viewer.","I do not personally have any critiques for the study, just maybe to make sure that when the participants are doing the experiment they are able to see all the graphs. I could not see about 5 or 6 graphs when doing the experiment, so my answers to those graphs may skew the final results. ","I would prefer the presentation. I am a visual learned and I would prefer to watch something and learn about it rather than read an extended abstract. I think the presentation would be better for determining whether the experiment was well designed or not. "
"2","1291749f357f6b10781b94d8cb672a7a",NA,"I agree","TRUE","I believe the perspective of a researcher will do more in depth into any part of a study. They will collect data and analyze it, create graphs to see the causes and effects. Or they can see if there is something wrong with their data, therefore conducting the experiment again. Whereas someone in the general public will simply look at the data collected and see the numbers and forget about it, or some people will change their habits depending on the research given. In summation the researches will do the research and the general public will look at the data collected. ","[Screen Shot 2023-08-08 at 8.06.41 AM.png] (/users/223679/files/15748922/preview?verifier=MHogEou5lRWUX3y77WswoRinByCBKkxMTgLdwxjM)","To see if there is a correlation between bar size and the comparison between their size. The purpose of this is to see if there is an opinion of the size difference between the bars. ","Eye strength ","The sliding bar to see the difference in size. It is hard to gauge the actual size difference when just sliding a bar. ","Categorical- triangle or the circle bars being smaller or larger 

Quantitative- the sliding bar determining the difference in size. ","I believe there was randomization of the control group because every student should have gotten different graphs to tell whether which one was smaller. We were also the people getting assigned to do the experiment. ","I didn't know that there was a color coordination between the ratios of the different graphs. That would have made a difference when selecting which one was smaller and by how much. I also didn't know that the different kits would each be different. This helps with the randomization of the study. But like the abstract said there are some discrepancies with the study. Which is where I still have questions. Do the different kits have the same graphs but in a different sequence or are they all different? With that does that skew the data? 

 ","I gained more knowledge about the study and the purpose of it the more I read. The last video we watched really helped give me an a better understanding of the kits and the purpose behind the ratios. ","The difference in the 2D versus the 3D or 3D printed graphs. The ratios for each along with the accuracy between each graph were represented more in the presentation. There were certain graphs that were more accurate than others. I enjoyed seeing the differences in each of the graphs and how accurate the responses were. ","Going through each of the steps, I now have a better understanding of how the study was designed and the purpose behind it. I would maybe suggest a fewer amount of kits to choose from. I know I got a little confused on which one I needed to pick. ","I am a visual learner so I would have rather heard about in through the presentation. It also broke down the steps which is easier for me to understand. I think the presentation as a whole would be better for determining how the experiment is designed. "
"2","08f1efaadc5f02583ffe6bb17b2355a4",NA,"I agree","TRUE","Most of what I know about scientific investigation is the basics that we learn in science class. Like the whole hypothesis, independent, dependent and controlled variable kind of stuff. I think that from the perspective of a research it definitely is taken much more seriously than the general consumer. With that said, I think it's still important to pay attention to it as a consumer.","mythologizing-decanes-foveal-literally

 ","To see how well we identified the larger bar and how well we could guess the proportion.","How accurately can students in Stats 218 estimate the difference in size of the triangle and circle bar graphs?","I don't know exactly what this means but it was difficult to get into the experiment app and at first it wasn't clear to me that the triangle and circle weren't the whole graph but rather one bar on the graph. I also wasn't clear on the sliding scale for the proportions.","Which bar was larger: categorical

How much larger the bar was: quantitative","I feel like all the same graphs were used for everybody. Since there weren't very many, this could have possibly created unnecessary outliers.","Before reading this, I hadn't thought about how the depth could have been an aspect to consider. I also wasn't aware that this was an experiment that has been done in the past. I still don't completely understand the point but I definitely understand it much more than I did before.","I feel like through each component I learned a little more than before so it's hard to compare them. I think each one was more so just like an added layer.","I had a hard time pinpointing specifics but the presentation was definitely a lot more detailed and much easier for me to understand. It also felt like the presentation overall just had a lot more information too.","I think it was pretty well done. I would have liked the instruction and explanation to have more detail. I wish the sliding scale would have been a bit clearer too.","I would rather hear about this study from the presentation. I was able to comprehend the information better than in the extended abstract. I think the presentation would be better for determining if the experiment was well designed because it was easier for me to understand. "
"2","96a945432ff0447b3e7b8e2e07427d14",NA,"I agree","TRUE","I think the process for the researcher is kind of like solving questions and doing experiments. As for the perspective of someone in general who is a consumer, I feel they read the research/investigation and go about their day, making decisions based on what they learned from the researchers. I feel consumers also spread the word and more curiosity, and the cycle just continues.","repetends-entirely-detrained-lawned","I think maybe to research how individuals perceive and interpret sensory stimuli, which in this case was the 3d-graph sizes ","Could have been testing a hypothesis of how people perceive and estimate relative sizes of bars ( the circle and triangle) in graphs, and if the mode of perceptions (the screen and 3-d versions) influences their judgments or not","Could have sources of error due to participants' subjectiveness. and individual differences that have to do with perception and potential bias. Also, the quality of the 3-d printed graphs might affect the responses. And possibly a human error of just misinterpreting instructions.","- mode of presentation (categorical)
- size of smaller bare compared to the larger bar (quantitative)
- circle or triangle (categorical)","I have a feeling the experimental design randomization was likely used to decide which participant received on-screen graphs and which got 3d. ","After reading the purpose is much clearer, however I still have some questions for the experimenter. I am curious about the criteria for selecting the 3d graphs' colors and how they ensured that the color wouldn't provide any indication of ratios. ",NA,NA,NA,NA
