id,prompt,response,topic,topic_label
5947f7bf23ffea0a77ebc62e2cbe3e75,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"They differed because each one asked for different things. Even though the information was combined into one study, the presentation, abstract, reflection, and participation were different. They each used different types of learning to gather information from the students taking the introduction to stats class. ",-1,Outlier
63f9e4ea19e326f6dd531ff7b5dce118,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"At first, I just had to guess why we were doing then, then I actually got to know why, and the information behind it. Especially during the participation part, I was extremely confused, but the extended abstract helped with that. ",5,5_the_was_abstract_of
6f46a2c2c9ba4e50f2e080415d90901d,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,There was a difference in the way of conveying the information between each component. The participation used 3D models and hands on learning while the abstract was reading based.,-1,Outlier
71b52a64635b7712e71223ae3e7dffa4,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I do not believe much of the information was different from the rest of the projects. However, I do prefer this method over the rest of them. ",4,4_components_the_of_project
7b43cfae376e2c8682d2a4755e6057e9,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,This was easier to understand. It was communicated more simpler compared to the abstract. ,5,5_the_was_abstract_of
7c395510a0ca8da0f47f21af2307af78,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Participation involves engaging in the study itself and providing feedback. Post-study delved into the subjective experiences and potential limitations noticed during the process. Extended abstract was condensed as a version of the study that highlighted key points such as the objectives, methods, results, and conclusions. Finally, the presentation offered more of an interactive overview of the study that emphasized the key findings and implications.",3,3_and_the_reflection_of
89cc712c7c054788b8598ed68bf54a18,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The participation piece came first so I did not fully understand the goal of this study and what exactly I was supposed to be doing. This was the hands on piece where I got to participate in it. The post experiment reflection related more towards what we are learning in class and if we can identify the components of the experiment. the extended abstract and presentation both gave an overall on the experiment. the abstract is a more formal way of presenting the experiment, the intro, abstract, methods, study design, etc while I feel like the presentation took a deeper dive into how they created the bar graphs and recreated the previous experiment from Cleveland and McGill. ",-1,Outlier
9f90de3209cb30a8b1948671c2f96454,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,the extended abstract showed me how and why the experiment was conducted. Through participation I learned how the experiment has meaning in the real world. In the presentation I learned that using 3d charts may not always be the best way to collect data/survey. ,0,0_3d_the_graphs_2d
a777e403b4dd41459c34e128fb3119f1,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"When 3D graphs become projected on a 2D surface they become distorted. One study showed participants answered more accurately with 2D graphs and in the other study 2D and 3D graphs had about the same accuracy, however, participants preferred the 2D graphs due to their simplicity. This doesn't mean the 3D graphs are absolutely horrible it just means they are used for different purposes. ",0,0_3d_the_graphs_2d
a902d28cdfabf7832175acab25157d37,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The components of this project differed as there was 7 unique ratios being used during the presentation rather then the participation part which was very interesting considering the blocks and the bar graph showed a difference.,4,4_components_the_of_project
adf9bf646242664097560b252499d579,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"the components of this part of the project seemed to be much more of an in depth explanation of what they were looking for, why they were looking for it and what it could be explained by. It seemed that most of the others went over a general basics of what the research was about or what the process was going to be. I still feel like watching this slideshow garnered the most information relating to different components of the project. ",4,4_components_the_of_project
ccd7fb72d52facf853cebe6ea83140df,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"While there was some variance in components of this project, I feel that most aspects of it remained fairly steady throughout. As I had kind of discussed in abstract reflection, I gained a better insight on what the actual purpose of the the experiment was after having the chance to read through the abstract. While I had thought that the variable of interest had something to do with colors and estimation, it actual had to do with 2D versus 3D models and how that depicts the accuracy of estimating values within them. ",1,1_the_and_was_experiment
d422cdaf3d837d67e0477a5c91789b1b,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Participating in the project means jumping into tasks with your team or by yourself, figuring things out together, and learning by doing. After it's all done, reflecting on what went well, what could've been better, and what you've learned helps you grow. Then, you've gotta summarize it all into a short paper, highlighting why your project matters to others in your field. Presentation is important because it shows what you learned and how well you understood it. ",-1,Outlier
da96498e91b91621bed2317f8e239fbe,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Each of these components had different information that weren't explained or shown in the other components of the project. For instance, from the presentation I got what the research questions they were trying answer. They each had information relevant to the project but like shown/explained in different ways. In the participation, we were doing the experiment, the presentation had more information about the project, the extended abstraction explained what they were trying to do and how they were doing it. ",-1,Outlier
dcf1017f0481832d93a16729d09a8096,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The information I gained from participation was fairly limited whereas the abstract and the presentation went into more depth about the reasoning behind the experiment, how it was set up, and what they were looking to gain from doing the experiment. Also, the presentation was the longest and most detailed component. The other components didn't go into as much detail and didn't provide me with as much information.",-1,Outlier
efe13f426fb64081db04c0d634fdaca7,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"One part that differed from the start til the abstract was the true purpose and reasoning behind the project study. During participation, I knew what I had to do to complete the experiment but did not have much to any knowledge about why. I started to make assumptions while during the experiment. After reading the abstract and seeing the presentation, it showed more about why and how the data was evaluated. ",6,6_the_what_experiment_abstract
f4e4ce8690ad90ef0a378c46245ff3f5,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The different components of this project were presented oddly.I learned the most about the experiment from the final presentation because it explained the differences between the kits, why we were asked to complete the experiment, and what the researchers were trying to gain. I did not learn very much from the participation because I did not know what the researchers were trying to gain from the experiment. Also, the extended abstract helped me learn some about the purpose of the experiment, but it would have been more helpful if it was shorter and more concise. ",-1,Outlier
ffa40025ceea23de7f98d1dcf66a235a,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The presentation went more into detail about how the users acted with the different types of graphs, the studies all focused on whether the 2D or 3D graphs had higher accuracy. The abstract has 5 types of graphs some have different positions and others have different lengths. The presentation had a different group used for testing. Over all, they all said that the 3D had the worse results. ",0,0_3d_the_graphs_2d
0d09c53bf1089b906fe1a3967097be4e,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"*

Participation: This aspect involved active engagement in hands on work.

*

Post-study reflection: Reflection allowed for the students perspective and critical analysis of the project experience. 

*

Extended abstract: The extended abstract served as a summary of the project, highlighting key aspects such as objectives, and conclusions.

*

Presentation: The presentation offered an opportunity to communicate project findings to a wider audience in a written format. ",3,3_and_the_reflection_of
11b6dd4f9c41494119133fec71f34553,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The presentation reflection was a lot clearer when understanding the point of the study. I am a visual learner, so when I watched the video, the point and background of the study became a lot clearer to me compared to reading the directions. The video was a lot clearer about what the experiment was studying, for example, how three of the graphs studied were on position, and the other two were on length, along with the Shiny app and the future work planned for the study. 

 ",-1,Outlier
1436e071863ca93b0aa0002988d6cba0,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I think that the components differed within our study because we were learning about randomization and other factors used in the study within our class. The plan outlined in the end of the video is what we used, so it did not differ planning wise.  ",4,4_components_the_of_project
2a9e408891d3bc0d7a23a730705c4940,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The components of this project differ because participation was lower than I expected. As well as the study reflection showed no significant evidence, I was expecting their to be stronger evidence. For future work I see how this study can help with the STAT 218 class, but I do not see it helping anything other. ",-1,Outlier
2ff310c77fe9e5a7c31bb12157d6ef5b,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,That 3D models aren't always the best thing to use in experiments. Not necessarily the worst thing sometimes they are good but in this experiment it can throw some things off. ,0,0_3d_the_graphs_2d
3b4e4c34b0cec4202d454eb8152e99fe,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,We were given much more background and overview (more similar to what we learn in class) with the abstract and presentation. We did not receive much background with the participation and post-study reflection parts. ,7,7_and_the_study_me
4b2bd232f756a6350cd0b4bb45a9c4a3,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"We learned more as we went further along in the experiment. In the participation, we didn’t even know what the experiment was testing. In the post study reflection we had time to think about the experiment and hypothesize what they were trying to test. In the abstract we saw what they were trying to test and in the presentation we found out the results",1,1_the_and_was_experiment
5521b96117b480385d287bee4d215d7d,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The information differed by many ways. I wasn't aware of the specific groups that were assigned to us before reading the presentation. I also had no idea that 3D would be less effective. I would totally think 3D would be more effective since it is a tangible object.,0,0_3d_the_graphs_2d
553b7271485eac748ec36e9f741caaa2,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"While going through the project, everything began to feel more clear. While participating I was wildly confused on why the information was needed for a study. The goal of finding the best graphical elements to extract information makes a lot of sense, and I gathered that from the video above.",-1,Outlier
5798139da51e9ab8b9ab4936dec038a4,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The further into the experiment I got, the more I understood exactly what was going on. The additional materials in the research paper, and the presentation especially helped me understand exactly what the goal of the project was. ",2,2_experiment_the_was_information
76081ec21e4d91f04c06ec3992a06223,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Participation and post-study reflection I didn't gain much information, however in the abstract and the presentation I was able to gain much more. In the first two, I was more or less in the experiment while in the last two, I was reading and understanding the actual purpose of it. ",1,1_the_and_was_experiment
9edca23a2ded88f53acdf0f24dfcb688,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The information that I learned was kind of split into two groups for me: (participation and post-study reflect) and (abstract and presentation). The information that I learned in the participation and post-study reflection was all kind of self taught and inferred. For example, going into this experiment I knew absolutely nothing other than what my teacher had told us about the experiment. The second group was much more for correcting and connecting assumptions that were made. The second half of this study was more for cementing the ideas and facts of this study.",1,1_the_and_was_experiment
a4f5808b998219850737d3cef005db14,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"While involvement encourages participation and teamwork, post-study reflection helps with learning and self-evaluation. While the presentation facilitates the effective presentation of major findings to viewers, the extended abstract acts as a short written overview of the project. Every element makes a distinct contribution to the distribution of project outcomes and overall learning. I would say that participation was obviously a big part of this experiment as well as post study reflection because they are key parts that could contribute to the future of the experiment. ",3,3_and_the_reflection_of
a6497de21b8fc43391ca1b9623646769,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I learned that 3D graphics are not the best way to rely information, so what I took from that was 3D is not an accurate way to measure like depth perception. ",0,0_3d_the_graphs_2d
ad34fa392cc4bf5480eaff90dd963765,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I learned that they gave each subject 5 out of the 7 and we each got it 3 times. I did not know we saw the same one many times.,8,8_different_was_it_the
b4849816ec13595dcd6c7fd939fc3a5f,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I feel that the presentation gave the most information on why we were taking the experiment and the reasons behind it. ,2,2_experiment_the_was_information
c2fb69d5e80d62d9c5bbb5c591318327,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I don't think it differed much, it explained the point of the experiment and what they were trying to research through students, and how their spacial skills are at UNL. ",2,2_experiment_the_was_information
c5d2206cc674c402ea09896c577266fe,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"My participation and post-study reflection in this experiment were personable components. The extended abstract and presentation were non-personable, literal descriptions of the purpose of the experiment and its goals.",1,1_the_and_was_experiment
cefe74e26b98bb25f162c69ade95438e,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"When participating, I had some idea that the question being asked in the experiment might've have had to do with if students can correctly guess the same exact shape as the 2D image/3D digital with the actual model. After doing it, I guess I kept about the same idea, and now after watching this, it makes sense. The questions asked in this experiment are good ones.",0,0_3d_the_graphs_2d
f46c2cd5bc592ee34fb5498455d8771c,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I think the abstract helped me to gain the most information. During participation, I didn't really understand the purpose of the study but the abstract and presentation supplemented my knowledge. ",-1,Outlier
0ad8d989b50dbefce044de35c4619755,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"While I was participating, I was pretty confused on what the experiment was testing. After watching the video, it was clear to me that they are testing if having physical model is more effective than a virtual one. The abstract helped me understand how they will calculate the results.",-1,Outlier
0b3246068297f2483221597c9f8660e5,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"During my participation I was only aware that there was a study about graphs taking place, and during the post-study reflection I didn't know much more than that. After the extended abstract I knew a lot more about what the study was about, and after the presentation I fully knew that the study was about comparing people's responses to the different types of exams (ie 2D, 3D, and 3D printed).",0,0_3d_the_graphs_2d
1d9bc467681b7acda5ee565cd656a6f3,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"While I was completing the experiment, I was guessing that the answers to the 3d models would have had more accurate predictions compared to the 2d model when in fact that was not the case. ",0,0_3d_the_graphs_2d
34e34abfdf8b962e2dfe22e7dd07b77c,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I felt like this information differed in the way of what I felt like was being tested in the study. While I participated in the study I felt like it had to do with something based off the color or percentages of height of the graphs but I then found out in the abstract and presentation it was studying the height perception of the graphs.,0,0_3d_the_graphs_2d
38668c8f20c6fc0c2e37b9f59abecd9e,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,Participation definitely differed from post study reflection. When I was taking the experiment I was assuming it was gauging how accurate your depth perception is. Now with much more context it was comparing your perception of a graph in a 3d environment to a 3d graph that is rendered in a 2d environment. ,-1,Outlier
4772be68c30e1b0fd89e9902fa1d5285,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The information I had about the study changed significantly from when I first took part in the experiment to now when I finished watching the presentation. At first I didn't know why I was taking the experiment or what it was measuring but now I know that it was primarily focused on people's perception of 2d vs. 3d objects and how accurately they can perceive each. ,0,0_3d_the_graphs_2d
4dcbd307bfdd64406aff21eb225670e8,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Participation in the project worked more with our hands-on learning and practical application, while post-study reflection is critical analysis and personal growth in the chapter. It was more a less a fun guessing trial and error for our stats class.",3,3_and_the_reflection_of
5c4df790835022e6909c3ea9e453c5e0,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The participation was just me doing the experiment as a test subject so I did not know much. Then the post study reflection and extended abstract really dove into why we were being asked to do the experiment and what results are expected from it. Then the presentation showed me what the results were and also how the study came to be for UNL Stats 218 students. ,1,1_the_and_was_experiment
65ba81fc15e5777c98e645d9147da8e9,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The didn't differ greatly. They appeared slightly different.,-1,Outlier
6c747a8127ab719a97694903c77b7614,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"From the presentation, I gained knowledge of how 3D-printed vs 3D rendered graphs affect someone's thought process. People prefer to feel and move the graph over looking at a screen. ",0,0_3d_the_graphs_2d
7483b578d61e4906f4631cc584e70bfe,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I didn't realize that there were three different types of graphs. The 3D printed, 3D digital and 2D digital. I just thought they were all either 3D printed or 2D digital. ",0,0_3d_the_graphs_2d
7ecb73a770530faefc7da0a72f8a3517,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"During the participation and post-study reflection portions, we weren't given much information about what the study was focused on. This ""blindness"" led to more accurate experiment results. The abstract provided a brief summary of the purpose and results of the experiment, and the presentation went into detail about what the researchers were really trying to find and the design of the experiment. ",1,1_the_and_was_experiment
91afb96dd9ee435cd1761ecee1411ab5,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Each component of the study had different parts of information on them. For example, the abstract had more information on what the experiment was testing and why compared to the actual experiment participation itself. ",2,2_experiment_the_was_information
b100843ce23fb375836a2edd5b14d008,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I was able to understand the point of the experiment more because i m able to understand what is being said through someone rather than reading an abstract. Throughout the process the most confusing part was the participation because we didn't understand the experiment and the point. It started to make more sense after reading the abstract and doing the post reflection. I was bale to understand full the experiment through the presentation because it was more clear to me.,6,6_the_what_experiment_abstract
c5699413bea4a8fd22172480eeb5d46f,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Not a lot differ. I never really thought about the distortion between the 2D graphs and the 3D graphs. I did notice that they looked different in some ways but after hearing the background behind the experiment and what was being tested, I thought the experiment was very interesting and seeing how results could be different from 2D to 3D.",0,0_3d_the_graphs_2d
cebe300db22ac3dff70963e6105b6f67,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I mostly learned about how the experimental process is conducted. I think each part taught me more about this process and how experiments are designed and carried out.,-1,Outlier
df7c7c6a8869147482e8162bd01b5a0e,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,Now seeing what our the actual experiment was helped. Because when asked to look at blocks it makes me think back to elementary school. I understand why this would be something that people would want to look at. ,2,2_experiment_the_was_information
e25ead9b2b056360291c0e9275f8c165,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"During this project and post-study reflections, we weren't given many instructions about what it was focused on. The abstract provided a bit more information of the purpose and results of what the experiment was supposed to be, but the presentation went into more detail.",2,2_experiment_the_was_information
e6d8cbad6a2fb3e35a194d8d34d71637,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I didn't really notice anything that differed too much. I think most of the things I read had a similar point and idea they were trying to get too.,-1,Outlier
ea70c7368e3519f09f47ac66bf211655,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"In most cases, the information I gained from the components of this project differed in what they did. In the case of the participation, I gained information on how to evaluate a 3D graph in comparison to another one. On the other hand, the other components gave me information that explained the specifics of the experiment (why it was being done, how it was being done, etc.) and gave me information on the actual point of the project/experiment.",4,4_components_the_of_project
efacf73b32f7d391344e7cb515f5806b,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I think it was interesting to actually be a part of a study and have the chance to also see the behind-the-scenes. The chance to reflect on the study gave us the opportunity to see the how components of the study differ. ,-1,Outlier
f414a00c77bf47462afaf4ccdba306cd,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The study found that participants were the most accurate assuming measurements from 2d digital graphs. They also found that a graph with a smaller size difference comparison was read more accurately than a graph with a large size difference comparison. They expected the abstract to find a significant difference in readings, but one form of calculation in the presentation found no significance. ",0,0_3d_the_graphs_2d
fb4aaa0c8a010e7c62cc57b9a754d6ad,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The information I gained from the components of this project differed by slowly revealing more about what the study was about and why we were participating in it. At first we were given hardly any information, just told that we were going to participate in a study. Then as I began to go through the components like actually doing the study, then reading the abstract and watching the presentation made it clear what this study was about and the type of information the researchers wanted to gather from it. ",4,4_components_the_of_project
4c41a07459f2ae2898bd12c07d28a0b6,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"During the participation portion of this project I had limited information on the scope and purpose of the study, but more information was provided during each component. I went from participating in the study, to reflecting on what might be the greater purpose of the study, to being given the abstract of a similar study that provided more in-depth information. The video I just watched allowed me to see the results of the study I participated in myself.",4,4_components_the_of_project
6aff93e318ef6e45dc460e1984388efb,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I received different information from each component of the project. Participating in the project didn't give me much information, but allowed for hands-on learning. The extended abstract and presentation gave much more detailed information about what the study was trying to accomplish and its results.",5,5_the_was_abstract_of
72920fe63f205ab3c2bf0473f373efb0,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"My understanding on the information changed and progressed as this project was revealed to me. I was under the impression that 3D graphics during the visual portion was effective, however in the abstract reflection I was proved wrong. I also was under the impression that there were little issues regarding 3D graphics and was also proved wrong as stated in the abstract reflection video. ",-1,Outlier
82c0ee94027c529a83a21fdd153ea6c1,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"To me it really wasn't much of a surprise because I went into the experiment realizing that there would be a lot of information given later that would make the data make more sense. 

The only thing that differed from start to finish was the purpose ofthe experiment from my point of view. It changed to figuring out that there are problems with 3D models of graphs that I didn't realize. 

I also don't really think about differentiating information during an experiment. I take in information as it builds on me as I read about an experiment. ",2,2_experiment_the_was_information
8a452c7a55f8075ca8d97e1454c3373d,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"While participating in the experiment, I knew nothing about the purpose - the reflection also didn't give much information and I was still somewhat confused as to why the study was being conducted. After reading the abstract, the purpose was clearer when finding out about the studies this one was aiming to recreate. Finally, the background information given in the presentation answered remaining questions I had and rounded out all other information as well.",1,1_the_and_was_experiment
990b6b636830aeee376b24baed256ba4,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"It differed by how I gathered my information. When doing the experiment I was learning by trying something new and learning on my own, while watching the video I heard from someone who has been working on this experiment for awhile.",2,2_experiment_the_was_information
aa4e129055d90e9457230c188cb488da,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The info differed for me after I saw the results. I thought it would be that the 2d was worse but after seeing the results I realized that the 2d model was easier to look at and understand I guess,0,0_3d_the_graphs_2d
abf24baa18761e6fb2285da6887bd83e,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The participation was hands on and physically in my hands, being able to look at it at every angle. The extended abstract got into a lot more detail that I was able to understand easier, like what the purpose was and those sorts. The presentation, was also very informational but explained it differently than the abstract, it was easier to listen. ",5,5_the_was_abstract_of
c53b84dde0a040c6e96af305de57527d,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"With each component we gained more information that connected to the study. When participating in the study we could only infer what was being studied, with the abstract and the presentation, we are able to learn more about what the actual reason was for the study. ",-1,Outlier
d5b792df2a86964081a782f4bf5f9db3,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I feel like going into the study, I had very little information about the study. With the abstract in the presentation, I now know that point was to gauge the ratio of data when given in different media. ",-1,Outlier
d8bef9cb25ffee4870e8034944f4cda0,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Each part of the project taught me something different. Doing the study showed how people actually used the charts, and reflecting on it helped me see what could’ve been better. Writing the abstract helped me explain the study clearly, and the presentation showed me what made sense to others and what didn’t.",0,0_3d_the_graphs_2d
e07f3279593693c3f23d80b9d69567ac,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,They differed because it went more into depth on how people see things and it compared on how close they were to getting the right guess. It showed how the human eye underestimates the longer bares compared the the shorter bars when estimating the proportions. ,-1,Outlier
e46c2d0a7fd4bc859d8ba27f797d3e40,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The information that I gained from the components of this project is that the participation were very straight forward on the how the equation should be used. I also think that the presentation is different because it talks about all the small components as well as the big ones in the project.,4,4_components_the_of_project
e7ba42039e7ae123d8b128dc1c7b0530,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Throughout the participation portion, the study didn't make much sense and I felt as I was just blindly doing something. However, once I read the extended abstract and presentation, the experiment mad total sense. ",6,6_the_what_experiment_abstract
18bcbda8c18230039108639be79eddae,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"They all basically just offered different insight, with the presentation, I was able to learn more about the results and where people went wrong. My participation was different just cause I like actually holding the object within my hands and i was able to feel it. ",8,8_different_was_it_the
2fdd824ae1fb05a108c085f6610d5c0a,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"During the inital participation I didn't have a lot of information about the meaning of the study but I knew that it had to do something with comparing data graph levels. As the steps of the study progressed, all the way to the presentation, I gained much more information about the background information for the study and why it was important to compare the difference between 2D and 3D graphs. ",0,0_3d_the_graphs_2d
