id,section_sis_id,section,attempt,What components of the experiment are clearer now than they were as a participant What questions do you still have for the experimenter Write 3 5 sentences reflecting on the abstract,Paste the response code you received after participating in the graphics experiment here,As of today I am at least 19 years of age,My instructor may share my reflection responses with the researchers in this study,What do you think the purpose of the experiment was,What elements of experimental design such as randomization or the use of a control group do you think were present in the experiment Why,What hypotheses might the experimenter have been testing,What sources of error are involved in this experiment,What variables were examined For each variable identify whether it was quantitative or categorical,In this class you ll be learning about the process of scientific investigation What do you think that process looks like from the perspective of a researcher compared to what it looks like from the perspective of someone in the general public who is a consumer of scientific results Write a paragraph at least 3 5 sentences about how you think science happens,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,If you had to hear about this study using only the extended abstract or only the presentation which one would you prefer Which one would be better for determining whether the experiment was well designed,What components were emphasized in the presentation that weren t emphasized in the abstract Why do you think that is,What critiques do you have of this study and its design What would have made the study better,year,semester,experiment
a8f5bb3f41a65caf85bf52fb4148a473,STAT-218-006.1251,19,1,"I understand why physical object can't be used to measure, so as to accurately measure without a lot of human error. Having the participants make their judgement quickly helps keep the study random. I don't quite understand the issue with 3D graphics that they are trying to disprove.",NA,TRUE,I agree,NA,NA,NA,NA,NA,The process of scientific investigation likely starts with research into the context of the investigation. A researcher would have to consider everything that may affect the outcome. The general public typically just cares about what the outcome is and how that would affect their own life. ,NA,NA,NA,NA,2025,Spring,Bar chart
ba2f1083d33aea02911b17ec6afbd561,STAT-218-006.1251,19,1,"I understand better now why there was 3D visuals. I am curious if the information gathered from this study is meant to be applied to real life situations for example, providing 2D vs 3D visuals in presentations for people? Is one of the goals to improve perceived or estimated accuracy or am I understanding the experiment wrong? Can the information from this study be applied to areas outside of statistics or is it strictly a way to improve areas of statistics? I do find it interesting that according to the abstract, the accuracy of 3D visuals is worse. I would think it would be the opposite as 3D visuals tend to be better, at least in my experience. ",95629-88509-55787-04816,TRUE,I agree,To compare old studies to new studies. I think the big idea was to perform a nearly identical experiment to one done in the past and compare the results. ,One of the biggest randomization factors was the physical 3D printed models we were given. They were not strategically handed out they were randomly taken or passed out. This removed bias and the ability for people to choose the exact few models that they wanted. ,Hight perception ,The bar adjusting the numbers to guess the hight. Only asking college students and not non-students. ,"Triangles and circles, this is categorical. Shorter versus taller graphs or models, this is categorical. The actual hight of the shorter section of the table/graph, this is quantitative.  ",I researcher applies all their collected statistics specifically to their particular research. Each individual number carries a lot more meaning to a researcher then perhaps it does for the general public.  Researchers use statistics to help draw logical and accurate conclusions for their research. The general public consumer is not going to necessarily understand the great importance of all the numbers and statistics they see on a paper. The general public consumer can interpret the statistics and decide whether or not to except the researchers conclusions where as the researcher uses the statistic to actually make the conclusions. ,I honestly don't know that there was much of a difference. I guess This presentation did offer a bit more explanation and breakdown of the study and the way it is set up. By participating I just understood the task of analyzing visual graphs. The post study reflection allowed me to think about what I did by participating. The abstract showed me how the study was designed and the parts of it. The presentation broke down the study and explained the parts of it making it more understandable.  ,I would prefer the presentation as it breaks the study down a bit better for me and give you visuals as well. The extended abstract is probably better for determining whether the experiment is well designed or not. ,I think the different graphs (2D and 3D) were more well explained and broken down in this presentation. Im not sure exactly why but maybe it is because at this point we have already done the experiment so our observations and gained knowledge now can't change or effect the answers and observations we gave during our participation in the study.   ,I still don't quite understand the purpose of this study. Like what are they planing to do or use this information and study outcomes for? I know he explained how they want to add even more types of graphs to the study in the future but he never said what they want to use the results for. ,2025,Spring,Bar chart
c21ee65d59f869ccf978280760b9cd74,STAT-218-006.1251,19,1,I now know what the experiment was testing. The experiment was set up to compare the accuracy of people's perception of data comparisons between 2D data sets and 3D data sets. I also understand why the experiment was set up in a manner of which the participant would estimate a data comparison of a 2D graph on the computer then make another estimation with a 3D printed graph. I initially thought that the experiment was designed to compare the accuracy of separate populations of participants. I know now that it was designed to observe the difference in accuracy of perception of data comparisons in regards to 2D and 3D graphs.,61507-93484-55918-86415,TRUE,I agree,I think the purpose of the experiment was to see how people on average perceive proportions without any reference numbers. It could also be to see which age group seems to guess proportions more effectively as well.,A control group in this experiment was there being no numbers for reference on the graphs. Another control group would be giving random graphs in which the two statistics being observed were not right next to each other.,"A potential set of hypotheses could be: 

null hypothesis: a person on average will guess the correct proportion 50% of the time.

alternative hypothesis: a person on average will guess the correct proportion more than 50% of the time.","Some sources of error would be if participants are just rushing through the questions, if people guess better or worse on various kit numbers, or if some of the participants have seen a significantly greater amount of graphs in their lifetime.","One variable that was examined would be if the participant guessed the right proportion which would be qualitative.

Another variable that was examined was age group, this was also qualitative.","I believe that science is a methodical approach to discover answers to questions. I believe that science should be conducted in a way that attempts to disprove a theory in any and every way possible. If the theory remains to stand after a meticulous attempt to disprove it, then that theory is evident to be true. However, science today is misconducted. Science conducted today manipulates data to support the theory directly without a proper attempt to disprove the theory.","I observed my understanding grow through the different components. During the participation, I was trying to figure out why I was doing what I was doing. I was trying to think of what the researchers were wanting to find out. I guessed incorrectly, but I began to understand better as I went through the post-study reflection. I learned even more in the extended abstract, and now that I have watched this presentation video, it all makes sense now.",I think that only the presentation would be better for determining whether the experiment was well designed because Tyler emphasizing certain things that would be otherwise missed. The presentation also brings up parts of the Cleveland and McGill study which presents a more clear comparison for the two studies. This comparison makes it easier to examine the accuracy and structure of the study that was conducted.,The fact that this experiment was designed to replicate Cleveland and McGill was mentioned in the presentation but not in the abstract. Another aspect that was not mentioned in the abstract but emphasized in the presentation is that the experiment is being used for experiential learning for the students at UNL. I think these details were left out to prevent participants from responding differently or looking up data beforehand.,"I do not have any particular critiques of this study and its design. I thought it was designed fairly well for its purpose, and I am not familiar with exactly how various studies ought to be designed. I suppose that a more random sample could improve the merit of the study. By this, I mean that the sample could have been random students in random classes and/or majors.",2025,Spring,Bar chart
dc96128b0491818c907610bf0991f534,STAT-218-006.1251,19,1,"As a participant, the overall structure and purpose of the experiment were less clear, especially regarding how the different types of graphs were designed and used for comparison. After reading the abstract, it's now clear how the study systematically replicated and extended the Cleveland and McGill experiment using 2D, digital, 3D, and 3D printed bar charts. The method for generating graph values and the reasoning behind design choices like the use of symbols and colored filament make more sense now. One question I still have is how much physical interaction with the 3D printed charts influenced accuracy compared to digital 3D charts. I'm also curious about how the researchers controlled for bias due to color or texture differences in the 3D printed materials. ",43435-11129-36633-93234,TRUE,I agree,to see if students can tell the difference between online charts and physical charts,I think replication because I think some graphs were repeated to see if you realized it was the same one. Not to sure to be honest.,Students will have a better understanding of physical graphs rather than graphs online,students could just be guessing and not actually trying hard,"charts you got correct online- categorical

charts you got right with physical copy- categorical","From a researcher's perspective, science is a structured approach that includes posing questions, developing hypotheses, performing experiments, interpreting data, and drawing conclusions based on factual evidence. Scientists adhere to strict research protocols, often conducting repeated trials to guarantee precision and reliability. Their findings are submitted to peer-reviewed journals, where other experts critically assess their work before it is acknowledged as valid scientific knowledge.

For the general public, science is frequently presented through simplified news articles, headlines, or social media summaries, which may not accurately reflect scientific research's complexity and evolving nature. Many people view scientific conclusions as absolute truths when science is a continuous process that refines and expands existing knowledge over time. The public may also expect quick solutions, whereas researchers recognize that scientific breakthroughs require time, involve uncertainty, and must undergo rigorous validation before being widely accepted.","Each component provided a different level of understanding. Participation helped me see the experimental process firsthand, while the post-study reflection made me consider my own expectations and the study's impact. The extended abstract gave a concise summary of results, but the presentation explained the reasoning and implications more clearly.","I would prefer the presentation because it explained the study in more depth and made the results easier to understand. For evaluating the study's design, the presentation is better since it includes details about methods, controls, and limitations.","The presentation emphasized the rationale behind the study and explained the data visually, which the abstract didn't do. This was likely done to help the audience follow the logic and significance of the findings more effectively during a live explanation.","One critique is that the sample size was relatively small, which might affect how generalizable the results are. The study could also benefit from more control over confounding variables, which would improve the reliability of the findings.",2025,Spring,Bar chart
e62af95e980eec3f4c340b6ad5361af6,STAT-218-006.1251,19,1,"After reading the abstract, it is now clearer why the experiment contained both physical bars and some on the computer. Some questions I still have are what are long term goals for this study or what will be done with the findings? I am also still confused on what the term shiny means in the abstract.",56442-19320-62390-73992,TRUE,I agree,Determining the accuracy of students' observations.,"Giving students' in a class random bags, because this makes it completely random for a set group.",How close a guess is to an accurate answer.,Wide range and room for errors.,"Height of a bar, categorical.","From the perspective of a researcher, a scientific investigation requires many subjects of study. A researcher is tracking data and applying it to the investigation question. For a consumer of the results, the process of scientific investigation is less important, but the results are the same.","As the project continued and more parts became available, information regarding the focus of the project also became available. Similarly, the size and importance of the project provided different information with progress.","I believe the presentation was better for learning about the experiment. The presentation was easier to understand as it was more engaging, but it also provides more data for understanding that the abstract does.","The presentation emphasized the results of the experiment more so than the abstract did. This includes graphs and images that represent the experiment. I believe this is because the abstract was written prior to the completion of the experiment, whereas the presentation is a somewhat final observation.","I feel that having a bit more knowledge of what the experiment is for would have made it a bit more engaging. While I knew how to do it and the process, I was still unsure of the reasoning for it all.",2025,Spring,Bar chart
f8613d1510453af0accab084f8efc1e6,STAT-218-006.1251,19,1,"When I first performed this experiment I was confused on the purpose of it. Now that I have read the abstract I understand that we were replicating an experiment from Cleveland and McGill from 1984. The experiment helps the researcher understand how the participants interpret 2-D and 3-D shapes. I also now understand the background information as in who has participated before and what they would like to do with this experiment in the future. A question I still have is, why was our class participating in the study? ",51844-86001-35671-80029,TRUE,I agree,I think that the purpose of the experiment was to evaluate how individuals perceive size of the different lengths of the block towers.,I think there was lots of randomization because we had to pick the random shapes and there was not a control group I felt like.,If I give individuals the same shapes and the same questions then they will perceive them differently because everyones brains work differently.,I think there could be error in the parts where we pick random shapes because that area is really grey.,"How long we think the block is, quantitative 

Which block is smaller, categorical","As a researcher I imagine the process of a scientific investigation looks more informed and understood than someone from the general population. Some who is experienced in research may have a better understanding than someone who has never done something like this before. I think science happens through the scientific process. First an observation is made than a way to test this observation is thought through. Next, a hypothesis is made and research begins. Once research is done you were correct or incorrect about your hypothesis then you can continue your research or be done. ",During the participation and post study I did not understand the study as well as I did once I read the extended abstract. After I read the extended abstract I understood it a lot better and then after the presentation I understood it completely. ,I think that I would choose the abstract because it explains why and how the experiment works. I liked this because I could go back and read it whenever I needed to. The abstract works better to understand how the experiment was designed and defends that it was designed well.,There were more visual representations in the video than there was in the abstract which helped me understand the experiment better. I think there were more photos in the video because it is just generally more common for a video.,I believe that this experiment would be better if we were explained what the experiment was for. I had a hard time taking the experiment seriously because I did not understand the purpose of what I was doing. So understanding what we are doing would make this study better.,2025,Spring,Bar chart
28b7233d7c1636108da9d71a4cd4dadc,STAT-218-007.1241,2,1,"Something that was clearer to me was the reason for doing the experiment. They wanted to replicate partial results from Cleveland and McGill, along with extending the study to multiple mediums of data visualization. One question I have is that could there be another factor that could be added which could affect the data differently?",08568-92168-55055-11077,TRUE,I agree,To determine if people could determine the difference between graphs. ,"I think they didn't fully use randomization in this experiment because the STATs classes were the ones being tested. 

The independent variable was the type of graph it was- physical, 2d, 3d

The dependent variable was how the test subjects would interpret the graphs. ","If people were to look at graphs and tell the difference between them, then they would be able to figure out which ones are smaller and bigger. ",People could not properly see the differences between the graphs. People could not understand the instructions. ,"The different types of graphs, being physical, 2d, or 3d- quantitative 

The size of the bar in question- quantitative

If it was either a circle or triangle bar- categorical ","Science happens by process and experimentation. In the eyes of a scientist, they follow a procedure to find the outcome of a question. Using certain methods, like the scientific method, they can find participants and perform their tests needed to find results. In the eyes of the consumer, they intake this information gathered by the scientist. They use it for all sorts of purposes, like projects, essays, debates. The consumer could even join in on experiments, where they could find a test and sign up for them. Everything is done in the advancement of the world and science, to better everyone. ",They differed by how interactive they actually were. It was more interactive with the actual experimentation then it was when doing these reflections and readings. ,"Probably the video presentation because someone is explaining the experiment. Whereas if I'm reading it, I will probably find it more boring to read about graphs. ","Who was actually taking part in the experiment. I didn't here mention of who was actually doing the experiment, only that it could be used for teaching purposes in Stats classes. ","The only critique that I have for this study is that it isn't engaging enough. In its defense this is a study about graphs and boring stuff like that, so it is going to be hard to make it engaging to people. ",2024,Spring,Bar chart
39e046f9e7db5e60e872a1206df793ae,STAT-218-007.1241,2,1,I now better understand why we did the study in the first place. While doing the first half of the study I was confused on the purpose of it. A question I still have an the experiment is how much data do you think will be needed for the final results of the experiment and do you think that the data will change significantly throughout the next years?,52283-97564-48230-57603,TRUE,I agree,To see how well students are at makes educated guesses about the height of the bars. ,I think randomization was used in this experiment. I was able to randomly choose the order of my graphs so they were not in the same order for everybody. ,How tall are each of the bars on the graphs. ,Trying to get the correct number on to the computer was hard. The number line was very touchy. ,"triangle or circle bar--categorical 

the height of the bar--quantitative ","I think the process of scientific investigation will almost look identical to the scientific method that we all learn at a younger age. From the perspective of a researcher, I feel like this process will be very important in their everyday life. They will need it to complete their experiments and testing. For the general public, I feel like most people do not know what it is. Maybe they use it everyday with realizing it but they do not know it is being used. ",As each step of the study continued I gained more knowledge of what this study was truly meant for. During just the participation I was very confused on the purpose but now I see. ,I think the presentation would be better. It is explained well and has good visuals to explain what would be happening. ,I feel as though I understood the presentation better because there were visualizations. The abstract was a bit confused to collect all of the information from. ,I think really explaining what the abstract was for during the first step would help them with better results. I was confused on what the purpose was so I felt as though I did not need to try as hard or get the correct results. ,2024,Spring,Bar chart
3a0ebf03d570094630828923e2723ac0,STAT-218-007.1241,2,1,The most clear now about the experiment is seeing the difference between 3d bar charts and 2d bar charts. I did not understand that this was the whole idea of the study. The one question I have is if there is a difference in accuracy between 2d and 3d charts.,52923-18338-93823-69107,TRUE,I agree,The purpose of the experiment was to see how different students can perceive different heights. ,Each person randomly picked a bag and each bag was different. Probably in each bag though there was one that was the same in each bag.,How much can students perceive heights of towers based on how close or far away they are from each other.,Some students who maybe did not understand how the experiment was working. ,The variables examined were the proportion of one tower to the next and if it was a star or circle. The first one is quantitative and the second is categorical.,"From a researchers perspective they look at all the things from the variables, to the parameters to anything that might skew the experiment in anyway. The consumer of scientific results just looks at the data of the experiment. They only look at the the numbers or outcome of the experiment and thats it. ",After learning about the presentation and extended abstract I learned that the study was to see how beneficial 3d graphs were. At the beginning during participation I thought that we were just being tested on perception.,I would prefer the presentation. The presentation would be better for determining if the experiment was well designed.,Does having a graph in a 3d environment help more than a graph in 2d. I believe in some aspects it can help and in some aspects it could ruin.,I don't really have any critiques. The study maybe would have been better if at the beginning we were told why we were comparing 2d and 3d graphs.,2024,Spring,Bar chart
50e8e598cd192d01bd53a16a25358fea,STAT-218-007.1241,2,1,Now that I have been a participant it makes more sense to me why they would be doing this experiment. I also have a better understanding of how the entire process works with data collection and other factors that may play into it. This really helped me to learn and be put in a different situation then I am used to in order to help to grow and expand my thinking about statistics. ,FZ4PA?,TRUE,I agree,To gather information about a certain thing. ,They tried to make it random but there will always be some kind of bias that prevents this. ,Why the outcome that happened happened. ,Bias and human error. ,Quantitative because there were more then two possibilities. ,"For someone who is a true scientist and doing education-based research they have a process of a few steps. They start by gather data then they form a hypothesis, do the experiment, and analyze the data. For someone who is not doing research-based science, also known as a normal person, they do all these things without even thinking about what they are doing. When it comes down to it, scientific investigation is about analyzing everything and trying to find answers, this is true for anybody who is answering a question. ","It helped me to understand a true experiment start to finish, Realizing all of the ways that the experiment is performed helps me to learn how they do it. ",The abstract would be better for understanding because it’s more detailed. The presentation would be better for seeing if it was designed well. ,They highlighted some things like the data and parts of the experiment. I think that they did this so that we can better understand what they did. ,They could have used some more data and tried to be more efficient. If they would have used more data they could have gotten a better idea of the experiment. ,2024,Spring,Bar chart
800d94b6be6106df843b01030d18dabb,STAT-218-007.1241,2,1,"The purpose of this experiment is clearer after reading the abstract. I did not realize how much thought went behind designing this experiment in order to eliminate confounding variables, like the bar color. I think it is interesting that they were replicating another study. I would ask how the data they collected compares to the data from Cleveland and McGill's study. ",33575-50481-38183-93004,TRUE,I agree,Too evaluate how people perceive things differently. ,"The experimenter most likely had tested a control group, so they had something to compare our results to. ",If someone is taking Stat 218 then they will be able to more accurately perceive the heights of the bars.,"Some students may rush through the experiment, so their results might not actually reflect how they perceive the height.","Is the bar shorter vs taller - categorical

What percent shorter or taller is the bar - quantitative","When I think of the process of scientific investigation from the perspective of a researcher, I think about the steps of the scientific method. First, they think of a question, form a hypothesis, and conduct an experiment. From there, they evaluate their data to come up with a conclusion and either confirm or reject their hypothesis. A person from the general public does not strictly follow those steps because the data is already provided for them from scientists. ",The information differed because at the beginning we did not really understand the purpose of the experiment and it was more about making inferences. Once we got more tools like the abstract and the presentation it was easier to see the goal of the experiment and apply it to how I felt when participating at the beginning. ,"I would prefer the extended abstract because I tend to learn best when I am reading something. When watching the presentation, I felt like I absorbed less information than when I read the abstract. ",There were more pictures of the graphs and how perspective changes the data. I think this is because it is easier to explain what is going on in the graphs when speaking than it is when writing. ,"The only critique I would have is that I think it should be expanded to students outside of just Statistics. I understand why they chose these students, but I think it would be interesting to see how the data would differ between students in other classes. ",2024,Spring,Bar chart
b1a94356b7c09534783af36f009d886b,STAT-218-007.1241,2,1,"After reading the extended abstract of this experiment, most parts of the experiment are a lot more clear now. For example, just even the research question for this experiment is more clear, making the way it is conducted make more sense as well. When previously reflecting on the experiment we had to guess the research question and what was being measured, it was very hard to determine the reason and hypothesis for this experiment without any context expecting participating. As a participant, it was somewhat confusing as to why they had some questions online versus some questions that pertained to 3D objects held in their hands. One question I still have for the experimenter is why they think the data comparisons for 3D charts are worse than 2D charts. ",67969-98091-29155-87170,TRUE,I agree,I think the purpose of the experiment was to see how accurately we can estimate the percentages and heights of the bars/blocks based on each other's heights. I also think it is testing how differently each of us sees the heights and how our answers may change throughout the experiment. ,"I don't think that there were control groups present because this study would be hard to have a control group. They would have to still participate in some way, but they wouldn't be estimating the heights of the blocks/bars so I don't think it would be effective or applicable to use a control group. I do believe there was randomization within the experiment because we were put into different groups randomly by giving us a different package filled with differently sized bars/blocks and maybe an online presentation as well. ",Students can accurately determine the percentage of height of a block based on the given height of another block 50% of the time. ,"* Different packs of the bars

* Bars could be missing

* People who have glasses/visual impairments

* Different displays on the computer (different computers, zoom size, etc.)","* If the students can estimate the height of the block properly - categorical

* The package of bars given to the students - quantitative

 ","A scientific investigation begins with observations that are made, which lead to questions that then turn into a hypothesis. After a hypothesis is formed I believe research experiments and studies are conducted. To be a credible scientific investigation, the results need to be reviewed and aligned with many other scientists. Then, I believe follow-up research should be conducted to strengthen the credibility of the conclusion, which leads to accepting or rejecting the original hypothesis. I think this process that I previously described is how a researcher would see the scientific investigation process, however to the general public I think that most people would assume it is more simple than that. I also think the general public does not wait to have all the results or for other reviews to agree with the findings of an experiment before they believe it. I think most of the general public hears science jargon, sees an established/what they think is a credible source, and some statistics and believes it almost 100%. ","During the participation, I did not gain much information, especially because we were not presented with the scientific question or any of the hypotheses. The post-study reflection and extended abstract provided similar information to me, we were able to understand what we participated in and why they conducted the experiment the way they did. Finally, the presentation gave me the most information, which gave me info on all of the experiments, and a very good overview of the entire experiment. ",I think I would prefer to hear about this study only using the extended abstract because I prefer the way the information that was in the extended abstract was presented. It included a lot of information that was included in the presentation could also be found in the extended abstract. I think that the extended abstract would also be the best for determining whether the experiment was well designed because it explained some of the errors or potential errors and where the study should be furthered. ,"I think some things that were emphasized in this presentation that weren't emphasized in the abstract are the potential errors or problems within the experiment as well as the actual ""math"" or statistic information within the experiment. I also think that in the presentation they included much more about the aspect that some of the participants in the experiment were students of statistics versus those who were not. ","I think that this study and its design could have been better with the way that the 3D-printed models were printed. Some of them had weird bumps or errors in their prints, which could affect the results. The way we were able to view the 2D online models could have been different like it would be more helpful to zoom in or move it around more. ",2024,Spring,Bar chart
d12aaf0ec645073043ceb470a419842b,STAT-218-007.1241,2,1,"Having participated in the study, I now realize that the experimental design was more intricate than I initially thought. The manipulation of variables and the methodological approach become clearer upon reflection. However, I still have questions about the specific criteria used for participant selection and why they would use a introductory stats class. Overall, the abstract prompts me to contemplate the broader implications of the study's findings and how they contribute to our understanding of decision-making processes.",16411-41442-43358-36836,TRUE,I agree,I think that the purpose of the experiment was to familiarize ourselves with the context of how we can see statistics in real life. ,"I think that they randomized whether they designed the experiment so that they could test for the results that they wanted by framing the questions and data to see the responses that they are looking for. They also separated all of us so we had to take it on our own, which eliminated a chance for social implications to create a confounding variable, for example if a popular kid got a crazy answer and everyone wanted to be their friend so they also put that answer. ","The experimenter might have been testing whether people notice the difference in percentages in real life vs on the computer, and whether people stay consistent on their responses. ",the sources of error could be when the subjects were guessing the percentages. I know that I messed up on a few. The subjects were also asked many of the questions twice and they probably did not always stay consistent on their responses. ,"There were at least two variables recorded, whether the subject got the percentage right, and whether they stayed consistent. These were both categorical. ","A researcher approaches scientific investigation from a very different and more analytical point of view. Researchers start by asking a question that they can test and, more specifically, run sample tests on. Then the researcher takes the data that they received from the sample tests and makes a conclusion based on the data. While a member of the general public does not classify all of the data and run all of the specific tests, they still take into account all of the necessary information before concluding. Although both come to a similar conclusion, the researcher is a lot more organized and has a more standardized procedure. ","Each one gave me more and more insight into the composition of the experiment. Overall I gained the most knowledge from the last one, it thoroughly describes every single thing about the experiment. ",I would prefer to watch the presentation rather than reading the abstract because I am more of a visual learner. I feel like I can determine more about the experiment through the visual representations and a human explaining the composition of the experiment. ,"During the presentation the different types of graphs that we are looking at is emphasized, while it wasn't emphasized in the abstract. I believe that the reason for this is because it is easier for someone to explain on a video, rather than on paper. On a video or in person presentation people can explain specific parts of graphics, which may be harder to accomplish, while trying to maintain the brevity of the abstract article.","The sample size of this experiment could possibly create a bias, because we are getting a large proportion from the same class that is an entry level stats class. Because all of the students are in an intro stats course they might not be the smartest math students. I suggest we open this study up to all students to eliminate all possible biases. ",2024,Spring,Bar chart
f45b77f8f752396bf41e991d1371eb5d,STAT-218-007.1241,2,1,"As a participant, I was confused. While participating, I wondered what the experimenter could be measuring. It is much clearer now. Now that I know what they were looking for, I understand that a participant should not know the objective of the experimenter. ",24006-88422-27970-07691,TRUE,I agree,To interpret how people view graphs. ,Not random if only students in Stats did the survey. ,Do all people read bar graphs the same. ,If the survey was taken seriously by students. ,"Interpretation of graphs - Quantitative

 ","I think this process is unique to each perspective. However, the process needs to be understandable to both perspectives. To effectively communicate questions and results. ","While participating, I was unaware of the project's components. I gained much more information about them through the extended abstract and presentation. ",The presentation would be more beneficial for deciding if the experiment was well-designed because it presents more information. While that abstract is short and does not go into great detail. ,"The presentation describes how the results were gathered and interpreted. In an abstract, you do not usually describe your methods or outcomes. ",I have not participated in a blind study before so I do not have much to compare to. I would maybe like to know beforehand that they would explain later instead of being confused. ,2024,Spring,Bar chart
f5d20bc8a1a77ee7f0295dd1a8fcfc32,STAT-218-007.1241,2,1,"What the experiment was attempting to solve or observe is now more clear. When initially doing the experiment, I was not sure what the point was surrounding this study, so it was not as interesting to do compared to if I would have known. If I would have known the study, I would have maybe paid a little more attention to what I was doing because I realized halfway through that I mistyped a few of the 3D charts because they were labeled extremely similarly. A question I have is: How do you plan on adjusting the graphics (both 3D printed as well as those for the visually impaired) based on the results of this study? In other words, what are you expecting from this study and what will the results tell you?",43910-41280-69993-78386,TRUE,I agree,I think it was to see how college students who are taking statistics can estimate percentages compared to those who are not taking statistics. ,We had to randomly choose a bag to use for the 3D printed models. This might be to ensure that the directions could be followed in relation to using the correct 3D block when asked. This could also prevent two friends who were taking it simultaneously to not share what they thought. ,Do college students who have taken statistics have a better accuracy when it comes to estimating percentages compared to college students who have not taken statistics?,"When using the 3D printed blocks, the participant could have used the wrong block or looked at the wrong column on the block. The internet could have also been a factor; if the internet was not working properly. Or malfunctions in the survey. ","* the percentage guess = quantitative

* did they follow directions (was the guess close at all) = categorical","The process of scientific investigation is a lot more extensive from the perspective of a researcher than from the general public. The process from the perspective of the researcher would involve observations leading to a hypothesis, an experiment, and analyzing the results. The analysis of the scientific process is more in depth to the researcher because they have to make sure the experiment is unbiased and unaffected. Then from that, they have to use the results to determine an outcome from the data. They can have data support their hypothesis or they may have to go back and alter their hypothesis and their experiment. The general public, on the other hand, does not follow that whole process. Instead, they simply read the analysis report from the researcher and connect it to their daily lives, if applicable. ","The information gained from the abstract was beneficial in getting a basic understanding of the experiment. The experiment and post-study reflection did not provide information personally, but after reading the abstract and watching the presentation, I can look back and see the purpose of the experiment and how it relates to the real world. The presentation was the most beneficial because he explained in it a way by showing pictures that related to the experiment that I participated in. ",I would prefer the presentation because it showed the reason for why they were doing the presentation more clearly and it was easier to follow along. It would be more beneficial for those who do not have a background in statistics as well because they can see the pictures within the presentation rather than just reading the words in the abstract. ,"I think that how this study relates to real world topics was more emphasized in the presentation. I got the basic understanding of the experiment in the abstract, but in the presentation it talked more about what provoked this experiment and how it can be used to increase the understanding of graphs in relation to the corporate world. This is probably because it is easier to show this idea with pictures rather than with words.","I would say to make the labels on the bottom of the 3D printed graphs different. When I was doing this study, I only looked at the last 4 digits of the graph and realized halfway through that I was looking at the wrong graph because they were labelled so similarly. ",2024,Spring,Bar chart
fb28bede22059c28c3db91d6f5220b97,STAT-218-007.1241,2,1,I now have a clearer understanding on the purpose and goal of the experiment. I understand now that their goal was to replicate results similar to a previous study and to extend the data to visualize multiple mediums. My question to them is why did they decided to randomize the heights of the other bars and not manually decide their heights? And why they chose to use college students as their form of data collection?,76160-76886-47161-19408,TRUE,I agree,to understand how people interpret statistical graphics and how accurately the information can be represented. ,"i think this design was mainly randomization because students were instructed to just take a kit out of the box, meaning that a lot of people likely chose the same kit as it was on top. therefore, there may be a lot of data for one of the kits and not really any data for the other kits. ",the hypothesis was about the accuracy of volume prediction among students in STAT 218,"human error of incorrectly determining which bar was larger, as well as human error in deciding how much bigger it is. there is also the possibility of not being careful and selecting the wrong blocks out of the bag and misinterpreting the label ","which bar was larger, circle or triangle. this is categorical

how many units tall is the shorter bar if the larger bar is 100. this is quantitative","I think that there are a few differences between the perspective of a researcher and the perspective of a consumer. For one, a researcher will be much more involved in the process of investigation in comparison to a consumer. The researcher will work hard to formulate a question, accurately collect data, analyze and interoperate the data, and then publish it in a way for people to understand. Whereas, most consumers will just access the already obtained and analyzed data in a simplified form. The consumers needs just a few minutes to gather the same information that took the researcher weeks or maybe even months. ",i feel like each component gave me more and more information about the experiment and it made more sense throughout the different components. I remember initially being really confused on what we were doing and why. ,I think the presentation is what I would prefer. It made a lot more sense hearing someone explain it with words and graphics.I think the abstract was a little confusing to follow. I think both are good choices if you need to determine if it was designed well. ,i dont really remember the abstract but i dont remember all of the equations and explanation of some of the data. I think this is because it is easier to explain these things on video rather than words. ,"I don't really have any critiques. I just wish the models were labeled a little bit better, I think I remember accidentally selecting the wrong model number since they were all so similar and then I couldn't go back and change it. ",2024,Spring,Bar chart
